year,organism,fundamental_count,applied_count,applied_share
2020,arabidopsis,169,3434,0.9530946433527616
2020,barley,151,722,0.827033218785796
2020,cotton,221,1100,0.8327024981074943
2020,maize,1153,3881,0.7709574890742948
2020,non_specific,14682,76823,0.839549751379706
2020,other_crop,3440,14440,0.8076062639821029
2020,other_model_organism,247,864,0.7776777677767777
2020,potato,148,1095,0.8809332260659695
2020,rice,1003,5006,0.8330837077716758
2020,soybean,485,1947,0.8005756578947368
2020,tobacco,64,612,0.9053254437869822
2020,tomato,285,2346,0.8916761687571265
2020,wheat,912,4750,0.8389261744966443
2021,arabidopsis,163,3382,0.9540197461212976
2021,barley,166,835,0.8341658341658341
2021,cotton,206,1089,0.8409266409266409
2021,maize,1002,3678,0.7858974358974359
2021,non_specific,14908,72975,0.8303653721425076
2021,other_crop,3058,14820,0.828951784315919
2021,other_model_organism,268,883,0.7671589921807124
2021,potato,127,1132,0.8991262907069102
2021,rice,814,5029,0.8606880027383194
2021,soybean,465,2016,0.8125755743651754
2021,tobacco,64,667,0.9124487004103967
2021,tomato,315,2551,0.8900907187718073
2021,wheat,929,4673,0.8341663691538737
2022,arabidopsis,142,3128,0.9565749235474006
2022,barley,151,653,0.8121890547263682
2022,cotton,219,1025,0.8239549839228296
2022,maize,982,3383,0.775028636884307
2022,non_specific,23166,66409,0.7413787329053866
2022,other_crop,2786,13332,0.827149770442983
2022,other_model_organism,215,772,0.7821681864235056
2022,potato,112,1018,0.9008849557522124
2022,rice,805,4908,0.8590932959915981
2022,soybean,387,1924,0.8325400259627866
2022,tobacco,93,615,0.8686440677966102
2022,tomato,260,2436,0.9035608308605341
2022,wheat,849,4392,0.8380080137378363
2023,arabidopsis,137,2768,0.9528399311531842
2023,barley,130,633,0.8296199213630406
2023,cotton,178,967,0.8445414847161572
2023,maize,923,3428,0.7878648586531832
2023,non_specific,26610,69379,0.7227807352925856
2023,other_crop,2736,13792,0.8344627299128751
2023,other_model_organism,209,753,0.7827442827442828
2023,potato,97,1100,0.9189640768588136
2023,rice,719,4809,0.8699348769898697
2023,soybean,361,1763,0.8300376647834274
2023,tobacco,138,619,0.8177014531043593
2023,tomato,247,2501,0.9101164483260553
2023,wheat,842,4297,0.8361548939482389
2024,arabidopsis,100,2664,0.9638205499276411
2024,barley,126,689,0.845398773006135
2024,cotton,186,1102,0.8555900621118012
2024,maize,1011,3788,0.7893311106480517
2024,non_specific,11886,69181,0.8533805370866073
2024,other_crop,2520,15232,0.8580441640378549
2024,other_model_organism,202,743,0.7862433862433862
2024,potato,80,1040,0.9285714285714286
2024,rice,804,5385,0.8700920988851187
2024,soybean,374,1893,0.8350242611380679
2024,tobacco,46,735,0.941101152368758
2024,tomato,252,2610,0.9119496855345912
2024,wheat,774,4365,0.8493870402802102
