organism,macro_theme_id,macro_theme_name,count,enrichment_log2
potato,0,"dan, yang, rats, dengan, patients",7164,0.0002645351434385377
potato,24,"11, br, 12, mmoll, 13",206,-0.11003536977953571
potato,10,"new species, described illustrated, illustrated, genus, sp nov",69,-0.15900027084828677
potato,6,"oxford, academic, google scholar, scholar, published 01",165,-0.17518702775807282
potato,2,"inra, document, du, diffusion, centre",19,-0.17526033282553483
potato,22,"mr, miles, county, specimens, writer",8,-0.32199247159654787
potato,3,"pp, vol, bulletin, du, journal",62,-0.3692225822013208
potato,26,"ex, amp, dc, kunth, willd",4,-1.2485380552325054
potato,8,"university arizona, libraries, project, committee, documentation",2,-1.26050167105694
potato,29,"kan, om, van, op, te",17,-1.8946512468281003
potato,21,"theory, century, expedition, church, religious",19,-1.9226383662304243
potato,12,"rocks, shale, sandstone, limestone, fault",2,-2.3477096417049226
potato,9,"cy, qu, thc, cao, cho",1,-2.358881570429566
potato,16,"13n, ee, taxa, dna dna, dahliae",1,-2.58156302212677
potato,15,"hosting, web, provider, domain, free",1,-2.926882965368361
potato,4,"dataset, datasets, restrictive terms, licensed restrictive, terms dataset",27,-3.5350630751119954
potato,5,"international rice, rice research, scientists, publication, rice based",1,-4.0
potato,11,"mm long, mm, glabrous, long, hairs",0,-4.0
potato,13,"greater equal, equal, geometry, 1980, false",0,-4.0
potato,18,"oder, mit, oft, bis, und",0,-4.0
potato,19,"surgery, sign, forum, archives, neck",0,-4.0
potato,20,"species established, 1964 iucn, evolved worlds, worlds comprehensive, established 1964",0,-4.0
potato,25,"national academy, academy sciences, academy, sciences, biological physical",0,-4.0
rice,5,"international rice, rice research, scientists, publication, rice based",3601,4.0
rice,23,"kim, lee, choi, korean, sci",63,3.403277254854097
rice,24,"11, br, 12, mmoll, 13",2309,1.2458796203722924
rice,7,"sup, image, sub, tn, cosub2sub",47,0.9244431049942844
rice,27,"information given, abstract new, distribution map, geographical distribution, america",82,0.8114888777387067
rice,0,"dan, yang, rats, dengan, patients",31955,0.026832039647597037
rice,22,"mr, miles, county, specimens, writer",42,-0.06031198925685626
rice,1,"chromosome, chromosomes, rna, karyotype, 2n",1281,-0.11283896014084419
rice,16,"13n, ee, taxa, dna dna, dahliae",20,-0.3902718676784763
rice,17,"references, mm long, introduction, glumes, results discussion",10,-0.41775260410058346
rice,28,"ofthe, inthe, ina, synthesis, ethylene",10,-0.867251687526621
rice,6,"oxford, academic, google scholar, scholar, published 01",341,-1.2585182534187849
rice,9,"cy, qu, thc, cao, cho",9,-1.3195935094263223
rice,25,"national academy, academy sciences, academy, sciences, biological physical",5,-1.5755285228767795
rice,3,"pp, vol, bulletin, du, journal",103,-1.7675553058440463
rice,10,"new species, described illustrated, illustrated, genus, sp nov",97,-1.7982488258783966
rice,14,"x0d, 100, fertilizers, russian, russia",142,-2.156562081866172
rice,26,"ex, amp, dc, kunth, willd",7,-2.5718200736139702
rice,19,"surgery, sign, forum, archives, neck",1,-2.9542747497639867
rice,13,"greater equal, equal, geometry, 1980, false",1,-2.9775445290868334
rice,21,"theory, century, expedition, church, religious",25,-3.6573466303383535
rice,12,"rocks, shale, sandstone, limestone, fault",3,-3.8933840814228353
rice,2,"inra, document, du, diffusion, centre",3,-4.0
rice,4,"dataset, datasets, restrictive terms, licensed restrictive, terms dataset",83,-4.0
rice,8,"university arizona, libraries, project, committee, documentation",1,-4.0
rice,11,"mm long, mm, glabrous, long, hairs",1,-4.0
rice,15,"hosting, web, provider, domain, free",0,-4.0
rice,18,"oder, mit, oft, bis, und",0,-4.0
rice,20,"species established, 1964 iucn, evolved worlds, worlds comprehensive, established 1964",0,-4.0
rice,29,"kan, om, van, op, te",2,-4.0
soybean,23,"kim, lee, choi, korean, sci",19,2.7662983436252353
soybean,28,"ofthe, inthe, ina, synthesis, ethylene",35,2.032476733358452
soybean,1,"chromosome, chromosomes, rna, karyotype, 2n",1913,1.5581009366910907
soybean,22,"mr, miles, county, specimens, writer",49,1.254453930907061
soybean,7,"sup, image, sub, tn, cosub2sub",19,0.7101552655877015
soybean,24,"11, br, 12, mmoll, 13",499,0.12809666676290687
soybean,0,"dan, yang, rats, dengan, patients",15553,0.08035673805417526
soybean,17,"references, mm long, introduction, glumes, results discussion",6,-0.06234469943932032
soybean,6,"oxford, academic, google scholar, scholar, published 01",338,-0.17889324733330372
soybean,27,"information given, abstract new, distribution map, geographical distribution, america",17,-0.3662267868015686
soybean,14,"x0d, 100, fertilizers, russian, russia",179,-0.7301199252791286
soybean,25,"national academy, academy sciences, academy, sciences, biological physical",4,-0.8050831189366727
soybean,26,"ex, amp, dc, kunth, willd",9,-1.1168764954017927
soybean,10,"new species, described illustrated, illustrated, genus, sp nov",69,-1.1972637124598862
soybean,3,"pp, vol, bulletin, du, journal",56,-1.5543274121421913
soybean,9,"cy, qu, thc, cao, cho",3,-1.8121825113200092
soybean,11,"mm long, mm, glabrous, long, hairs",2,-2.281330519332519
soybean,2,"inra, document, du, diffusion, centre",8,-2.46145128788072
soybean,4,"dataset, datasets, restrictive terms, licensed restrictive, terms dataset",85,-2.9188230827493613
soybean,15,"hosting, web, provider, domain, free",1,-3.9651464069799602
soybean,5,"international rice, rice research, scientists, publication, rice based",1,-4.0
soybean,8,"university arizona, libraries, project, committee, documentation",0,-4.0
soybean,12,"rocks, shale, sandstone, limestone, fault",0,-4.0
soybean,13,"greater equal, equal, geometry, 1980, false",0,-4.0
soybean,16,"13n, ee, taxa, dna dna, dahliae",0,-4.0
soybean,18,"oder, mit, oft, bis, und",0,-4.0
soybean,19,"surgery, sign, forum, archives, neck",0,-4.0
soybean,20,"species established, 1964 iucn, evolved worlds, worlds comprehensive, established 1964",1,-4.0
soybean,21,"theory, century, expedition, church, religious",3,-4.0
soybean,29,"kan, om, van, op, te",5,-4.0
tobacco,21,"theory, century, expedition, church, religious",390,2.341694046589093
tobacco,25,"national academy, academy sciences, academy, sciences, biological physical",17,2.225572776438758
tobacco,1,"chromosome, chromosomes, rna, karyotype, 2n",1483,2.1339757149247003
tobacco,26,"ex, amp, dc, kunth, willd",31,1.6105878676678613
tobacco,28,"ofthe, inthe, ina, synthesis, ethylene",9,1.0163117719808896
tobacco,6,"oxford, academic, google scholar, scholar, published 01",308,0.6302069112045046
tobacco,16,"13n, ee, taxa, dna dna, dahliae",9,0.4932915918290341
tobacco,27,"information given, abstract new, distribution map, geographical distribution, america",14,0.29685834813078743
tobacco,7,"sup, image, sub, tn, cosub2sub",7,0.21277572832681155
tobacco,10,"new species, described illustrated, illustrated, genus, sp nov",82,-0.005043110494880087
tobacco,0,"dan, yang, rats, dengan, patients",6957,-0.13710586896187085
tobacco,24,"11, br, 12, mmoll, 13",177,-0.4240007343662648
tobacco,3,"pp, vol, bulletin, du, journal",51,-0.7460639381032085
tobacco,4,"dataset, datasets, restrictive terms, licensed restrictive, terms dataset",195,-0.7776906510123611
tobacco,19,"surgery, sign, forum, archives, neck",1,-0.9187081968114261
tobacco,22,"mr, miles, county, specimens, writer",5,-1.0951347641956937
tobacco,14,"x0d, 100, fertilizers, russian, russia",67,-1.2046534579605213
tobacco,2,"inra, document, du, diffusion, centre",8,-1.5182582337556285
tobacco,9,"cy, qu, thc, cao, cho",1,-2.453951957916074
tobacco,5,"international rice, rice research, scientists, publication, rice based",0,-4.0
tobacco,8,"university arizona, libraries, project, committee, documentation",0,-4.0
tobacco,11,"mm long, mm, glabrous, long, hairs",0,-4.0
tobacco,12,"rocks, shale, sandstone, limestone, fault",0,-4.0
tobacco,13,"greater equal, equal, geometry, 1980, false",0,-4.0
tobacco,15,"hosting, web, provider, domain, free",0,-4.0
tobacco,17,"references, mm long, introduction, glumes, results discussion",0,-4.0
tobacco,18,"oder, mit, oft, bis, und",0,-4.0
tobacco,20,"species established, 1964 iucn, evolved worlds, worlds comprehensive, established 1964",2,-4.0
tobacco,23,"kim, lee, choi, korean, sci",0,-4.0
tobacco,29,"kan, om, van, op, te",2,-4.0
tomato,27,"information given, abstract new, distribution map, geographical distribution, america",111,2.4353346103291886
tomato,7,"sup, image, sub, tn, cosub2sub",21,0.9491535469538673
tomato,28,"ofthe, inthe, ina, synthesis, ethylene",15,0.9046926840529954
tomato,1,"chromosome, chromosomes, rna, karyotype, 2n",1139,0.9046401820840811
tomato,0,"dan, yang, rats, dengan, patients",15291,0.15045498220340164
tomato,2,"inra, document, du, diffusion, centre",42,0.025474506929031367
tomato,14,"x0d, 100, fertilizers, russian, russia",238,-0.22450956720445048
tomato,24,"11, br, 12, mmoll, 13",353,-0.27666659327218235
tomato,25,"national academy, academy sciences, academy, sciences, biological physical",5,-0.3885466520183194
tomato,16,"13n, ee, taxa, dna dna, dahliae",8,-0.5252180917073788
tomato,10,"new species, described illustrated, illustrated, genus, sp nov",80,-0.8892517023197022
tomato,3,"pp, vol, bulletin, du, journal",76,-1.019146448725219
tomato,6,"oxford, academic, google scholar, scholar, published 01",169,-1.0842848753023129
tomato,9,"cy, qu, thc, cao, cho",4,-1.3025366400101746
tomato,21,"theory, century, expedition, church, religious",54,-1.3593334470911498
tomato,23,"kim, lee, choi, korean, sci",1,-1.3870207977873592
tomato,26,"ex, amp, dc, kunth, willd",6,-1.607230624091958
tomato,8,"university arizona, libraries, project, committee, documentation",3,-1.6191942399163928
tomato,22,"mr, miles, county, specimens, writer",5,-1.9437194462897938
tomato,17,"references, mm long, introduction, glumes, results discussion",1,-2.552698828129486
tomato,4,"dataset, datasets, restrictive terms, licensed restrictive, terms dataset",47,-3.679016795178435
tomato,15,"hosting, web, provider, domain, free",1,-3.8705380349489698
tomato,5,"international rice, rice research, scientists, publication, rice based",0,-4.0
tomato,11,"mm long, mm, glabrous, long, hairs",0,-4.0
tomato,12,"rocks, shale, sandstone, limestone, fault",0,-4.0
tomato,13,"greater equal, equal, geometry, 1980, false",0,-4.0
tomato,18,"oder, mit, oft, bis, und",0,-4.0
tomato,19,"surgery, sign, forum, archives, neck",0,-4.0
tomato,20,"species established, 1964 iucn, evolved worlds, worlds comprehensive, established 1964",0,-4.0
tomato,29,"kan, om, van, op, te",6,-4.0
wheat,1,"chromosome, chromosomes, rna, karyotype, 2n",2825,1.1119411573526161
wheat,7,"sup, image, sub, tn, cosub2sub",46,0.9772159350188544
wheat,14,"x0d, 100, fertilizers, russian, russia",1090,0.8676029439386292
wheat,23,"kim, lee, choi, korean, sci",10,0.8317251518867376
wheat,27,"information given, abstract new, distribution map, geographical distribution, america",48,0.12269909948697379
wheat,0,"dan, yang, rats, dengan, patients",31957,0.11072205788519135
wheat,17,"references, mm long, introduction, glumes, results discussion",13,0.04455874479834092
wheat,28,"ofthe, inthe, ina, synthesis, ethylene",16,-0.1053800567687886
wheat,22,"mr, miles, county, specimens, writer",36,-0.1989046849481094
wheat,26,"ex, amp, dc, kunth, willd",31,-0.3411789596395044
wheat,24,"11, br, 12, mmoll, 13",718,-0.35553307793357686
wheat,25,"national academy, academy sciences, academy, sciences, biological physical",10,-0.49172879723158486
wheat,6,"oxford, academic, google scholar, scholar, published 01",537,-0.5195681788123501
wheat,2,"inra, document, du, diffusion, centre",51,-0.7975997190914987
wheat,16,"13n, ee, taxa, dna dna, dahliae",14,-0.82104531486304
wheat,10,"new species, described illustrated, illustrated, genus, sp nov",156,-1.0289597235580814
wheat,3,"pp, vol, bulletin, du, journal",115,-1.5247660564376948
wheat,5,"international rice, rice research, scientists, publication, rice based",32,-1.8303356332655774
wheat,21,"theory, century, expedition, church, religious",75,-1.9885844039720029
wheat,12,"rocks, shale, sandstone, limestone, fault",6,-2.8095843557776408
wheat,4,"dataset, datasets, restrictive terms, licensed restrictive, terms dataset",147,-3.1371154472329734
wheat,11,"mm long, mm, glabrous, long, hairs",2,-3.2899042925147937
