bridge_id,peer_id,peer_class,bridge_cpp,peer_cpp
A5100695189,A5059217681,A-only,29.257575757575758,21.912280701754387
A5100695189,A5111401237,A-only,29.257575757575758,25.512820512820515
A5100695189,A5108871422,A-only,29.257575757575758,32.11764705882353
A5100695189,A5100668217,C-only,29.257575757575758,32.38235294117647
A5100695189,A5086085023,C-only,29.257575757575758,15.333333333333334
A5100695189,A5100761760,C-only,29.257575757575758,14.583333333333334
A5090657386,A5090088541,A-only,36.666666666666664,126.0
A5090657386,A5030540784,A-only,36.666666666666664,69.4390243902439
A5090657386,A5040714980,A-only,36.666666666666664,126.0
A5090657386,A5047119301,C-only,36.666666666666664,47.666666666666664
A5090657386,A5088938276,C-only,36.666666666666664,32.815384615384616
A5090657386,A5005598752,C-only,36.666666666666664,123.3030303030303
A5001957314,A5001317061,A-only,58.68292682926829,126.0
A5001957314,A5060653991,A-only,58.68292682926829,126.0
A5001957314,A5047909842,A-only,58.68292682926829,61.5
A5001957314,A5078308270,C-only,58.68292682926829,25.6
A5001957314,A5063634471,C-only,58.68292682926829,49.4
A5001957314,A5035805490,C-only,58.68292682926829,36.68
A5035646542,A5044184658,A-only,114.94214876033058,40.397905759162306
A5035646542,A5016259803,A-only,114.94214876033058,51.494773519163765
A5035646542,A5087379591,A-only,114.94214876033058,101.02880658436214
A5035646542,A5023759202,C-only,114.94214876033058,15.083333333333334
A5035646542,A5009247199,C-only,114.94214876033058,0.8208955223880597
A5035646542,A5041261609,C-only,114.94214876033058,10.351648351648352
A5069406403,A5003914123,A-only,84.15217391304348,61.39344262295082
A5069406403,A5052390193,A-only,84.15217391304348,23.828125
A5069406403,A5018596472,A-only,84.15217391304348,67.46666666666667
A5069406403,A5021910734,C-only,84.15217391304348,2.1875
A5069406403,A5013150144,C-only,84.15217391304348,50.85
A5069406403,A5080395400,C-only,84.15217391304348,9.053333333333333
A5046379497,A5113700225,A-only,43.54545454545455,64.81818181818181
A5046379497,A5089944993,A-only,43.54545454545455,88.66666666666667
A5046379497,A5070397988,A-only,43.54545454545455,57.666666666666664
A5046379497,A5054896785,C-only,43.54545454545455,1.8214285714285714
A5046379497,A5103163574,C-only,43.54545454545455,2.03125
A5046379497,A5044281570,C-only,43.54545454545455,4.0
A5087030302,A5035516572,A-only,126.0,60.65
A5087030302,A5072076692,A-only,126.0,126.0
A5087030302,A5053069053,A-only,126.0,54.69444444444444
A5087030302,A5030752440,C-only,126.0,18.0625
A5087030302,A5103252615,C-only,126.0,22.358974358974358
A5087030302,A5014169457,C-only,126.0,40.984375
A5071913882,A5000500193,A-only,126.0,69.625
