concept_a,concept_b,organism,year
C107457646,C44154836,non_specific,1990
C117671659,C133731056,non_specific,1990
C134560507,C539667460,non_specific,1990
C107038049,C170154142,non_specific,1991
C11171543,C61434518,non_specific,1992
C100001284,C40700,non_specific,1993
C26271046,C73484699,non_specific,1994
C19165224,C29595303,non_specific,1995
C114614502,C118615104,non_specific,1996
C29595303,C36289849,non_specific,1997
C138921699,C6303427,non_specific,1998
C119599485,C200601418,non_specific,1999
C118084267,C77805123,non_specific,2000
C147597530,C147789679,non_specific,2002
C118524514,C149635348,non_specific,2005
C13280743,C165205528,non_specific,2010
C121864883,C134306372,non_specific,2015
C202444582,C37914503,non_specific,2022
C144133560,C48824518,non_specific,1960
C121332964,C15708023,non_specific,1960
C13965031,C179104552,non_specific,1960
C39432304,C6557445,non_specific,1960
C142362112,C15708023,non_specific,1960
C17409809,C1965285,non_specific,1960
C111368507,C505870484,non_specific,1962
C31972630,C62649853,non_specific,1967
C41999313,C8010536,non_specific,1969
C177322064,C184779094,non_specific,1973
C171146098,C66938386,non_specific,1974
C126894567,C90924648,non_specific,1983
C100001284,C50522688,non_specific,1995
C107038049,C107993555,non_specific,1999
C18547055,C556758197,non_specific,2001
C127413603,C548081761,non_specific,1963
C144133560,C37621935,non_specific,1960
C155202549,C162324750,non_specific,1963
C105795698,C149782125,non_specific,1960
C205649164,C97137747,non_specific,1960
C105795698,C33923547,non_specific,1960
C131872663,C29456083,non_specific,1960
C149923435,C74909509,non_specific,1960
C144024400,C19165224,non_specific,1960
C62649853,C91586092,non_specific,1961
