organism,macro_theme_id,decade,count,enrichment
non_specific,8,2020s,9,0.4513642926128599
non_specific,13,2020s,186,0.4513642926128599
non_specific,17,2020s,10,0.4513642926128599
non_specific,18,2020s,1,0.4513642926128599
non_specific,19,2020s,16,0.4513642926128599
non_specific,28,2020s,2,0.4513642926128599
non_specific,20,2020s,12071,0.44861800699644366
non_specific,29,2020s,468,0.42388355619075285
non_specific,4,2020s,27832,0.4001377637735877
non_specific,12,2020s,82,0.3995253610932419
non_specific,2,2020s,336,0.3965984891819681
non_specific,10,2020s,1513,0.3599245363016295
non_specific,21,2020s,581,0.3437397990847705
non_specific,9,2020s,565,0.34080591746516115
non_specific,11,2020s,11,0.3258334105290011
non_specific,3,2020s,97,0.32335668023678843
non_specific,25,2020s,21,0.25871921467046394
non_specific,5,2020s,26,0.24491341514543347
non_specific,16,2020s,107,0.15940827747655667
non_specific,24,2020s,2138,0.10720542491449644
non_specific,14,2020s,6604,0.04130528744683261
non_specific,0,2020s,169083,-0.0863038699071441
non_specific,6,2020s,413,-0.17378729822399508
non_specific,1,2020s,1509,-0.2970286487511596
non_specific,27,2020s,95,-0.4217235949049206
non_specific,7,2020s,210,-0.48184861617593766
non_specific,26,2020s,558,-0.5053319231662796
non_specific,23,2020s,29,-1.0829721350383283
other_crop,15,1990s,50,3.061593010555894
other_crop,7,1990s,2,1.1618979163515792
other_crop,27,1990s,1,0.6764710891813376
other_crop,1,1990s,1361,0.596787861581957
other_crop,22,1990s,7,0.2688131202680913
other_crop,26,1990s,3,0.26143358990249366
other_crop,0,1990s,6492,0.08954163724763288
other_crop,28,1990s,15,-0.0687150117898371
other_crop,2,1990s,103,-0.11391921140751002
other_crop,24,1990s,196,-0.20467409359062533
other_crop,6,1990s,187,-0.3850212971635123
other_crop,14,1990s,9,-0.3906431066771994
other_crop,10,1990s,61,-0.6501794159484279
other_crop,17,1990s,1,-0.6860989902033706
other_crop,11,1990s,2,-1.070762840438696
other_crop,19,1990s,1,-1.1011364894822144
other_crop,4,1990s,77,-1.4023060242027796
other_crop,3,1990s,67,-1.5991967890101737
other_crop,21,1990s,13,-2.473945753371761
other_crop,29,1990s,10,-2.7697851407082266
other_crop,12,1990s,1,-3.967385100593387
other_crop,5,1990s,0,-4.0
other_crop,8,1990s,0,-4.0
other_crop,16,1990s,0,-4.0
other_crop,20,1990s,4,-4.0
other_crop,25,1990s,0,-4.0
other_crop,15,2000s,127,2.7938400517515483
other_crop,27,2000s,296,1.7989301340004042
other_crop,9,2000s,4,0.8051553649793827
other_crop,22,2000s,5,0.7709396496414695
other_crop,19,2000s,4,0.3615487135037678
other_crop,2,2000s,74,0.3119511872174217
other_crop,1,2000s,937,0.1945349618706525
other_crop,25,2000s,6,0.1513310061134223
other_crop,0,2000s,18869,0.09442582975677712
other_crop,17,2000s,9,-0.12253043020472729
other_crop,7,2000s,6,-0.34106537587166114
other_crop,28,2000s,2,-0.3583433673034966
other_crop,24,2000s,629,-0.36944107618682726
other_crop,14,2000s,82,-0.3844956551594654
other_crop,4,2000s,148,-0.5661397611554417
other_crop,10,2000s,93,-0.7616990615347052
other_crop,16,2000s,19,-0.8576497834799442
other_crop,3,2000s,59,-0.8655620889941036
other_crop,6,2000s,66,-0.9085404498639762
other_crop,21,2000s,30,-1.4238172047807782
other_crop,26,2000s,1,-2.680271462190859
other_crop,11,2000s,1,-3.1208440535768402
other_crop,29,2000s,22,-3.690539797644686
other_crop,12,2000s,1,-3.9856166728826175
other_crop,5,2000s,0,-4.0
other_crop,8,2000s,0,-4.0
other_crop,20,2000s,10,-4.0
other_crop,23,2000s,0,-4.0
other_crop,15,2010s,82,2.637426125619206
other_crop,27,2010s,81,1.3351565565023122
other_crop,9,2010s,14,0.8571092596976678
other_crop,16,2010s,53,0.8294573343058093
other_crop,26,2010s,11,0.7945881751396094
other_crop,7,2010s,46,0.7089713930546432
other_crop,17,2010s,33,0.6448410556349274
other_crop,28,2010s,3,0.21967933908237616
other_crop,0,2010s,45488,0.15060385862479925
other_crop,23,2010s,11,0.10808764795639096
other_crop,1,2010s,635,-0.13947876778361334
other_crop,2,2010s,31,-0.20650215999798352
other_crop,6,2010s,70,-0.2820747476911849
other_crop,24,2010s,1069,-0.3491016734785022
other_crop,14,2010s,767,-0.3545362392808414
other_crop,22,2010s,2,-0.4197309456611565
other_crop,19,2010s,3,-0.6344697944541688
other_crop,4,2010s,344,-0.6900474017429481
other_crop,3,2010s,27,-0.8843705311397463
other_crop,10,2010s,115,-1.472198365555292
other_crop,21,2010s,32,-1.9901488985873703
other_crop,25,2010s,3,-2.0798809427765317
other_crop,11,2010s,1,-2.794126460442654
other_crop,29,2010s,39,-3.1880032545929637
other_crop,12,2010s,2,-3.4462031570223473
other_crop,5,2010s,0,-4.0
other_crop,8,2010s,1,-4.0
other_crop,18,2010s,0,-4.0
other_crop,20,2010s,139,-4.0
other_crop,26,2020s,338,1.6003403199214896
other_crop,6,2020s,163,1.3138570032224097
other_crop,27,2020s,32,0.8373349153989041
other_crop,7,2020s,72,0.8027449862350245
other_crop,23,2020s,13,0.5884007066099644
other_crop,0,2020s,28970,0.1975102233405158
other_crop,14,2020s,805,-0.16606002582967372
other_crop,1,2020s,203,-0.3621557034578944
other_crop,24,2020s,210,-0.41168107650509916
other_crop,3,2020s,7,-0.6402871212579627
other_crop,16,2020s,7,-0.9457896682322138
other_crop,9,2020s,31,-1.018190710815741
other_crop,10,2020s,59,-1.4917145679184938
other_crop,21,2020s,22,-1.5503088170476889
other_crop,4,2020s,644,-2.2044882030969135
other_crop,2,2020s,6,-2.5818423142408635
other_crop,29,2020s,7,-2.8102121227002748
other_crop,5,2020s,0,-4.0
other_crop,8,2020s,0,-4.0
other_crop,11,2020s,0,-4.0
other_crop,12,2020s,0,-4.0
other_crop,13,2020s,0,-4.0
other_crop,17,2020s,0,-4.0
other_crop,18,2020s,0,-4.0
other_crop,19,2020s,0,-4.0
other_crop,20,2020s,17,-4.0
other_crop,25,2020s,0,-4.0
other_crop,28,2020s,0,-4.0
other_model_organism,11,1990s,2,2.7129719546318336
other_model_organism,2,1990s,16,0.9833150564798009
other_model_organism,1,1990s,126,0.9473512286484078
other_model_organism,10,1990s,10,0.5247461364465773
other_model_organism,0,1990s,442,-0.003268292838377825
other_model_organism,24,1990s,9,-0.8657241411929917
other_model_organism,6,1990s,9,-0.9782559605383071
other_model_organism,3,1990s,6,-1.2965886836762606
other_model_organism,4,1990s,4,-1.8853577698271515
other_model_organism,29,1990s,1,-2.30797844052506
other_model_organism,21,1990s,1,-2.390650676442324
other_model_organism,20,1990s,3,-2.5815836215793277
other_model_organism,5,1990s,0,-4.0
other_model_organism,7,1990s,0,-4.0
other_model_organism,8,1990s,0,-4.0
other_model_organism,12,1990s,0,-4.0
other_model_organism,14,1990s,0,-4.0
